topicID	workerID	docID	gold	label
20002	w1	clueweb09-en0000-66-24091	-1	0
20002	w1	clueweb09-en0001-31-15410	-1	0
20002	w1	clueweb09-en0000-05-22942	-1	0
20002	w1	clueweb09-en0000-05-22943	-1	0
20002	w1	clueweb09-en0006-85-33191	2	2
20002	w2	clueweb09-en0000-66-24091	-1	1
20002	w2	clueweb09-en0001-31-15410	-1	1
20002	w2	clueweb09-en0000-05-22942	-1	0
20002	w2	clueweb09-en0000-05-22943	-1	0
20002	w2	clueweb09-en0006-85-33191	2	-2
20002	w3	clueweb09-en0000-66-24091	-1	2
20002	w3	clueweb09-en0001-31-15410	-1	2
20002	w3	clueweb09-en0000-05-22942	-1	2
20002	w3	clueweb09-en0000-05-22943	-1	2
20002	w3	clueweb09-en0006-85-33191	2	0
20002	w4	clueweb09-en0000-66-24091	-1	2
20002	w4	clueweb09-en0001-31-15410	-1	2
20002	w4	clueweb09-en0000-05-22942	-1	1
20002	w4	clueweb09-en0000-05-22943	-1	1
20002	w4	clueweb09-en0006-85-33191	2	-2
20002	w5	clueweb09-en0000-66-24091	-1	1
20002	w5	clueweb09-en0001-31-15410	-1	2
20002	w5	clueweb09-en0000-05-22942	-1	1
20002	w5	clueweb09-en0000-05-22943	-1	1
20002	w5	clueweb09-en0006-85-33191	2	-2
20002	w1	clueweb09-en0001-69-06149	-1	1
20002	w1	clueweb09-en0001-82-29492	-1	0
20002	w1	clueweb09-en0001-88-11661	-1	1
20002	w1	clueweb09-en0001-52-00915	-1	1
20002	w1	clueweb09-en0006-85-33194	2	2
20002	w3	clueweb09-en0001-69-06149	-1	2
20002	w3	clueweb09-en0001-82-29492	-1	0
20002	w3	clueweb09-en0001-88-11661	-1	2
20002	w3	clueweb09-en0001-52-00915	-1	2
20002	w3	clueweb09-en0006-85-33194	2	-2
20002	w6	clueweb09-en0001-69-06149	-1	2
20002	w6	clueweb09-en0001-82-29492	-1	0
20002	w6	clueweb09-en0001-88-11661	-1	2
20002	w6	clueweb09-en0001-52-00915	-1	2
20002	w6	clueweb09-en0006-85-33194	2	-2
20002	w7	clueweb09-en0001-69-06149	-1	0
20002	w7	clueweb09-en0001-82-29492	-1	0
20002	w7	clueweb09-en0001-88-11661	-1	0
20002	w7	clueweb09-en0001-52-00915	-1	0
20002	w7	clueweb09-en0006-85-33194	2	-2
20002	w8	clueweb09-en0001-69-06149	-1	2
20002	w8	clueweb09-en0001-82-29492	-1	2
20002	w8	clueweb09-en0001-88-11661	-1	2
20002	w8	clueweb09-en0001-52-00915	-1	2
20002	w8	clueweb09-en0006-85-33194	2	2
20002	w1	clueweb09-en0002-43-06897	-1	2
20002	w1	clueweb09-en0001-89-32957	-1	0
20002	w1	clueweb09-en0006-85-33174	2	2
20002	w1	clueweb09-en0001-94-28919	-1	0
20002	w1	clueweb09-en0002-00-10521	-1	0
20002	w2	clueweb09-en0002-43-06897	-1	0
20002	w2	clueweb09-en0001-89-32957	-1	0
20002	w2	clueweb09-en0006-85-33174	2	0
20002	w2	clueweb09-en0001-94-28919	-1	0
20002	w2	clueweb09-en0002-00-10521	-1	1
20002	w3	clueweb09-en0002-43-06897	-1	1
20002	w3	clueweb09-en0001-89-32957	-1	0
20002	w3	clueweb09-en0006-85-33174	2	0
20002	w3	clueweb09-en0001-94-28919	-1	0
20002	w3	clueweb09-en0002-00-10521	-1	1
20002	w6	clueweb09-en0002-43-06897	-1	1
20002	w6	clueweb09-en0001-89-32957	-1	0
20002	w6	clueweb09-en0006-85-33174	2	0
20002	w6	clueweb09-en0001-94-28919	-1	0
20002	w6	clueweb09-en0002-00-10521	-1	1
20002	w9	clueweb09-en0002-43-06897	-1	0
20002	w9	clueweb09-en0001-89-32957	-1	0
20002	w9	clueweb09-en0006-85-33174	2	0
20002	w9	clueweb09-en0001-94-28919	-1	0
20002	w9	clueweb09-en0002-00-10521	-1	0
20002	w10	clueweb09-en0002-45-00234	-1	0
20002	w10	clueweb09-en0003-31-21696	-1	0
20002	w10	clueweb09-en0003-07-26869	-1	0
20002	w10	clueweb09-en0006-85-33145	2	2
20002	w10	clueweb09-en0002-87-33611	-1	0
20002	w1	clueweb09-en0002-45-00234	-1	2
20002	w1	clueweb09-en0003-31-21696	-1	1
20002	w1	clueweb09-en0003-07-26869	-1	0
20002	w1	clueweb09-en0006-85-33145	2	2
20002	w1	clueweb09-en0002-87-33611	-1	1
20002	w11	clueweb09-en0002-45-00234	-1	1
20002	w11	clueweb09-en0003-31-21696	-1	0
20002	w11	clueweb09-en0003-07-26869	-1	0
20002	w11	clueweb09-en0006-85-33145	2	1
20002	w11	clueweb09-en0002-87-33611	-1	0
20002	w3	clueweb09-en0002-45-00234	-1	2
20002	w3	clueweb09-en0003-31-21696	-1	2
20002	w3	clueweb09-en0003-07-26869	-1	0
20002	w3	clueweb09-en0006-85-33145	2	0
20002	w3	clueweb09-en0002-87-33611	-1	0
20002	w6	clueweb09-en0002-45-00234	-1	2
20002	w6	clueweb09-en0003-31-21696	-1	2
20002	w6	clueweb09-en0003-07-26869	-1	0
20002	w6	clueweb09-en0006-85-33145	2	0
20002	w6	clueweb09-en0002-87-33611	-1	0
20002	w1	clueweb09-en0004-65-06653	-1	0
20002	w1	clueweb09-en0004-89-03216	-1	0
20002	w1	clueweb09-en0009-33-8213	-2	-2
20002	w1	clueweb09-en0003-63-04771	-1	0
20002	w1	clueweb09-en0004-03-39899	-1	0
20002	w3	clueweb09-en0004-65-06653	-1	0
20002	w3	clueweb09-en0004-89-03216	-1	0
20002	w3	clueweb09-en0009-33-8213	-2	0
20002	w3	clueweb09-en0003-63-04771	-1	1
20002	w3	clueweb09-en0004-03-39899	-1	1
20002	w6	clueweb09-en0004-65-06653	-1	0
